X,Y,OBJECTID,park_id,comment,longitude,latitude,feature_ty,map_label,full_path,edit_type,gps_date,last_edited_date,created_user,created_date,last_edited_user,park_name,Feature_Desc,type_id,feature_id,GlobalID,category,facility_name,address,city,zip_code,business_unit,responsibility
1402650.46144688,462609.433628976,2090,173,POSSIBLE FISHING SITE (LARGE AREA ),-76.68248244,38.93649561,46, , , ,2013/08/20 00:00:00+00,2021/03/31 15:44:16+00,ITMAGL23@AACO,2019/05/06 00:00:00+00,ITVBOD20,Davidsonville Park,Water - Cartop - Patuxent River,229,119719,{074C2DBD-98B9-409E-8E0B-21F0C8588F0C},PARK,,3042 Patuxent River Rd,Davidsonville,21035,8401,
1424821.05030772,535058.797916308,2091,175,BRIDGE OVER 100,-76.60343381,39.13517864,55, , , ,2013/08/30 00:00:00+00,2015/05/26 00:00:00+00,ITMAGL23@AACO,2019/05/06 00:00:00+00,ITMAGL23@AACO,B and A Trail,,,1287,{E445D5EE-DB46-470F-988B-C27EBD3C2FBD},PARK,,,,,,
1427453.77142023,486859.317871898,2092,070,8X20 Conex,-76.59490648,39.00280888,11, , , ,2013/04/23 00:00:00+00,2022/10/13 19:45:16+00,ITMAGL23@AACO,2019/05/06 00:00:00+00,RPMCCR07,Generals Highway Corridor Park,,,2275,{D40BA27D-9DB8-422A-B1AD-B198F3455FA6},PARK,Generals Highway Corridor Park - Conex Storage (near Field 4),1758 Crownsville Rd,Annapolis,21401,8409,Rec and Parks
1431549.97877897,521631.494390398,2093,003,CATTAIL POND,-76.57992956,39.09823,45, , , ,2013/01/30 00:00:00+00,2021/03/31 20:22:32+00,ITMAGL23@AACO,2019/05/06 00:00:00+00,ITVBOD20,Kinder Farm Park,,229,214070,{E88F5DED-3914-4A08-9521-D623E9414E7C},PARK,,1001 Kinder Farm Park Rd,Millersville,21108,8323,
1405665.05384289,487248.851541638,2094,055,Boardwalk,-76.67157278,39.00411877,55,,,,,2021/06/23 18:40:32+00,,,ITVBOD20,Crofton Park,,,216620,{A0AAC409-40E1-4F80-B627-7D0EBB983AD8},PARK,Crofton Park - Boardwalk,2285 Davidsonville Rd,Crofton,21114,8349,Rec and Parks
1469209.43790872,535264.847372979,2095,077,WOODEN BENCH,-76.44694432,39.13511048,31, , , ,2013/12/09 00:00:00+00,2014/11/26 00:00:00+00,ITMAGL23@AACO,2019/05/06 00:00:00+00,ITMAGL23@AACO,Hancocks Resolution,,,186333,{0221426D-7401-4174-AAF0-0A2D59FB40E8},PARK,,2795 Bayside Beach Rd,Pasadena,21122,8391,
1424556.38449848,434258.444071233,2096,156,PARKING LOT,-76.60590098,38.8584169,13, , ,ADDITION,,,ITGLAD00@AACO,2019/06/05 00:00:00+00,ITGLAD00@AACO,South County Recreation Center,,,10091,{528F5AF8-20CC-46BB-9F74-6C226940D370},PARK,,4510 Owensville Sudley Rd,Harwood,20776,8394,
1397271.28815013,407263.264793977,2097,002,OTTER POINT TRAIL,-76.70202846,38.78457832,38, ,http://countyconnect/sites/RecsParks/ParkPlannerDocs/Document%20Library/ParkSigns/Jug%20Bay/JUGBAY0220133.JPG, ,2013/02/20 00:00:00+00,2021/04/08 17:01:52+00,ITMAGL23@AACO,2019/05/06 00:00:00+00,ITVBOD20,Jug Bay Wetlands Sanctuary,,,186334,{274E1024-0481-4E08-82F4-D57D6A054D37},PARK,,1361 Wrighton Rd,Lothian,20711,8334,
1430809.81556113,522591.732299313,2098,003,BENCH,-76.58252209,39.10087576,30, , , ,2013/02/04 00:00:00+00,2019/01/09 00:00:00+00,ITMAGL23@AACO,2019/05/06 00:00:00+00,ITMAGL23@AACO,Kinder Farm Park,,,186335,{C44ABBFB-4266-4D9F-8D5C-A60AA67B8136},PARK,,1001 Kinder Farm Park Rd,Millersville,21108,8323,
1408932.64999796,556964.34990564,2099,042,BIKE ROUTE,-76.65915844,39.19549808,38, ,http://countyconnect/sites/RecsParks/ParkPlannerDocs/Document%20Library/ParkSigns/BWI%20Trail/GW0821133.JPG, ,2013/08/21 00:00:00+00,2015/11/04 00:00:00+00,ITMAGL23@AACO,2019/05/06 00:00:00+00,ITMAGL23@AACO,BWI Trail,,,186336,{2CBB549D-D822-4172-8804-2B4F3BD40109},PARK,,,,,,
1430992.79288547,520917.104743063,2100,003,BATTING CAGE,-76.58190436,39.09627558,50, , , ,2013/01/30 00:00:00+00,2021/06/23 18:40:32+00,ITMAGL23@AACO,2019/05/06 00:00:00+00,ITVBOD20,Kinder Farm Park,Batting Cages,,216621,{ABD824F4-3AB3-423E-8403-8498681AE0A2},PARK,,1001 Kinder Farm Park Rd,Millersville,21108,8323,
1421454.74568863,530699.770217061,2101,159,WOODEN BENCH SET IN CONC,-76.61536611,39.12325006,30, , , ,2014/01/27 00:00:00+00,2014/11/25 00:00:00+00,ITMAGL23@AACO,2019/05/06 00:00:00+00,ITGLAD00@AACO,Southgate Old Mill Park,,,186337,{18F67B1F-BB7A-4DAF-96A5-0B1D0E75E689},PARK,,8224 Oakwood Rd,Millersville,21108,8380,
1440583.07751064,533999.857120812,2102,078,Multipurpose Concession Restroom,-76.54788515,39.13207006,11, , , ,2013/07/08 00:00:00+00,2022/10/13 19:45:16+00,ITMAGL23@AACO,2019/05/06 00:00:00+00,RPMCCR07,Havenwood Park,"Multipurpose - Concession, Restroom, Storage",,1553,{15763082-9DDF-4B54-B0C6-2A8F54FE5342},PARK,"Havenwood Park - Multipurpose - Concession, Restroom, Storage",7923 Outing Ave,Pasadena,21122,8405,FMD W/DW
1460287.26677673,535512.018794641,2103,134,PARKING LOT,-76.47839324,39.13593329,13, , ,FEATURE ADDITION,,,ITLOLL99@AACO,2019/06/10 00:00:00+00,ITLOLL99@AACO,Poplar Ridge Park,,,2114,{AF51B8EA-06F6-450A-8E99-A1EFCBCD955E},PARK,,1710 Poplar Ridge Rd,Pasadena,21122,8369,
1393129.68094781,541530.630445063,2104,044,Batting Cage,-76.7150876,39.15327241,50, , , ,2013/04/30 00:00:00+00,2021/04/29 14:27:03+00,ITMAGL23@AACO,2019/05/06 00:00:00+00,ITVBOD20,Cannon Stadium,Batting Cage (2),,2346,{132C0D99-F737-464C-918E-CCB99A3AA9DE},PARK,,7551 Teague Rd,Hanover,21076,8335,
1425679.64799997,525204.367822066,2105,065,Maintenance Building,-76.60055893,39.10811205,11, , , ,2013/07/09 00:00:00+00,2022/10/13 19:45:16+00,ITMAGL23@AACO,2019/05/06 00:00:00+00,RPMCCR07,Elvaton Park,,,1517,{A2B9116C-D341-4B89-B037-2586FC2C59D6},PARK,Elvaton Park - Maintenance Building (by stormwater mgmt pond),311 Dogwood Rd,Millersville,21108,8352,Rec and Parks
1460632.60926189,545999.333121806,2106,008,type id=232  CANOE LAUNCH,-76.47696393,39.16472141,12, , , ,2013/04/01 00:00:00+00,,ITMAGL23@AACO,2019/05/06 00:00:00+00,ITMAGL23@AACO,Fort Smallwood Park,,232,2153,{96E6C805-33CE-464D-A34A-9FE9F3A093BD},PARK,,9500 Fort Smallwood Rd,Pasadena,21122,8321,
1460714.46769397,545476.92438972,2107,008,BEACH/FISHING,-76.47668579,39.16328582,46, , , ,2013/04/01 00:00:00+00,2021/03/31 18:15:27+00,ITMAGL23@AACO,2019/05/06 00:00:00+00,ITVBOD20,Fort Smallwood Park,,229,2153160,{8DB704D8-713F-4F2D-8DB7-8EE09DF969EB},PARK,,9500 Fort Smallwood Rd,Pasadena,21122,8321,
1406142.24645805,556381.235258222,2108,042,NO MOTORCYCLES,-76.66901154,39.1939253,38, ,http://countyconnect/sites/RecsParks/ParkPlannerDocs/Document%20Library/ParkSigns/BWI%20Trail/GW08211342.JPG, ,2013/08/21 00:00:00+00,2015/11/04 00:00:00+00,ITMAGL23@AACO,2019/05/06 00:00:00+00,ITMAGL23@AACO,BWI Trail,,,186338,{6AB35AB4-C959-4727-A67B-7144FD9A485E},PARK,,,,,,
1451796.44156681,462661.069680557,2109,006,BENCH,-76.50970627,38.93604034,31, , , ,2013/02/27 00:00:00+00,,ITMAGL23@AACO,2019/05/06 00:00:00+00,ITLOLL99@AACO,Quiet Waters Park,,,186339,{313B4F27-5917-40BB-A50B-44394F388792},PARK,,600 Quiet Waters Park Rd,Eastport,21403,8241,
1446103.85223022,537099.581564397,2110,166,BENCH,-76.52836674,39.14050391,31, , , ,2013/04/01 00:00:00+00,,ITMAGL23@AACO,2019/05/06 00:00:00+00,ITMAGL23@AACO,Tick Neck Park,,,186340,{A27905CC-60E0-4C3C-86F5-1B8A243700BE},PARK,,8002 Edwin Raynor Blvd,Pasadena,21122,8363,
